Protocol,Src Port,Dst port,Packet Count,First Timestamp,Last Timestamp,Mean Packet Length
Ether,49756,443,1,Unknown,Unknown,66
Ether,58407,1900,1,Unknown,Unknown,217
Ether,443,49756,1,Unknown,Unknown,60
Ether,49756,443,1,Unknown,Unknown,54
Ether,49756,443,1,Unknown,Unknown,571
Ether,443,49756,1,Unknown,Unknown,60
Ether,443,49756,1,Unknown,Unknown,1514
Ether,443,49756,1,Unknown,Unknown,1514
Ether,443,49756,1,Unknown,Unknown,1419
Ether,49756,443,1,Unknown,Unknown,54
Ether,49756,443,1,Unknown,Unknown,118
Ether,49756,443,1,Unknown,Unknown,152
Ether,443,49756,1,Unknown,Unknown,60
Ether,443,49756,1,Unknown,Unknown,60
Ether,49756,443,1,Unknown,Unknown,640
Ether,443,49756,1,Unknown,Unknown,60
Ether,443,49756,1,Unknown,Unknown,566
Ether,49756,443,1,Unknown,Unknown,85
Ether,443,49756,1,Unknown,Unknown,60
Ether,443,49756,1,Unknown,Unknown,85
Ether,443,49756,1,Unknown,Unknown,85
Ether,49756,443,1,Unknown,Unknown,54
Ether,443,49756,1,Unknown,Unknown,1514
Ether,443,49756,1,Unknown,Unknown,1514
Ether,443,49756,1,Unknown,Unknown,1514
Ether,443,49756,1,Unknown,Unknown,1514
Ether,443,49756,1,Unknown,Unknown,1094
Ether,49756,443,1,Unknown,Unknown,54
Ether,443,49756,1,Unknown,Unknown,85
Ether,49756,443,1,Unknown,Unknown,54
Ether,49748,443,1,Unknown,Unknown,152
Ether,443,49748,1,Unknown,Unknown,60
Ether,49748,443,1,Unknown,Unknown,85
Ether,443,49748,1,Unknown,Unknown,60
Ether,49748,443,1,Unknown,Unknown,2117
Ether,49748,443,1,Unknown,Unknown,716
Ether,443,49748,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,60
Ether,49748,443,1,Unknown,Unknown,606
Ether,443,49748,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,85
Ether,443,49748,1,Unknown,Unknown,384
Ether,49748,443,1,Unknown,Unknown,54
Ether,137,137,1,Unknown,Unknown,110
Ether,62915,53,1,Unknown,Unknown,77
Ether,56321,53,1,Unknown,Unknown,77
Ether,53,62915,1,Unknown,Unknown,141
Ether,53,56321,1,Unknown,Unknown,167
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,946
Ether,49748,443,1,Unknown,Unknown,54
Ether,57030,53,1,Unknown,Unknown,74
Ether,49548,53,1,Unknown,Unknown,74
Ether,49757,443,1,Unknown,Unknown,66
Ether,53,57030,1,Unknown,Unknown,90
Ether,53,49548,1,Unknown,Unknown,99
Ether,443,49757,1,Unknown,Unknown,60
Ether,49757,443,1,Unknown,Unknown,54
Ether,49757,443,1,Unknown,Unknown,571
Ether,443,49757,1,Unknown,Unknown,60
Ether,49748,443,1,Unknown,Unknown,318
Ether,443,49748,1,Unknown,Unknown,60
Ether,49758,443,1,Unknown,Unknown,66
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1130
Ether,49757,443,1,Unknown,Unknown,54
Ether,49757,443,1,Unknown,Unknown,147
Ether,443,49757,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1100
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,312
Ether,443,49758,1,Unknown,Unknown,60
Ether,49758,443,1,Unknown,Unknown,54
Ether,49758,443,1,Unknown,Unknown,571
Ether,443,49758,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49758,1,Unknown,Unknown,1514
Ether,443,49758,1,Unknown,Unknown,1514
Ether,443,49758,1,Unknown,Unknown,1514
Ether,443,49758,1,Unknown,Unknown,123
Ether,49758,443,1,Unknown,Unknown,54
Ether,49758,443,1,Unknown,Unknown,128
Ether,443,49758,1,Unknown,Unknown,60
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
